setId,id,prompt,choice1,choice2,choice3,choice4,choice5,choice6,correctAnswers,select
practice-test-1,16,Which of the terms listed below can be used to describe the basic principles of information security?,PKI,AAA,GDPR,CIA,,,CIA,1
practice-test-1,17,Non-repudiation describes the inability to deny responsibility for performing a specific action,True,False,,,,,True,1
practice-test-1,18,Which of the following best applies to the concept of non-repudiation?,Digital certificate,MFA,Hashing,Encryption,,,Digital certificate,1
practice-test-1,19,Which type of user account violates the concept of non-repudiation?,Standard user account,Shared account,Guest user account,Service account,,,Shared account,1
practice-test-1,20,Which part of the AAA security architecture deals with verification of identity?,Authentication,Authorization,Accounting,,,,Authentication,1
practice-test-1,21,In AAA granting access to resources is known as:,Authentication,Authorization,Accounting,,,,Authorization,1
practice-test-1,22,In AAA tracking accessed services is called:,Authentication,Authorization,Accounting,,,,Accounting,1
practice-test-1,23,Which of the following solutions provide AAA functionality?,CHAP,TACACS+,PAP,RADIUS,MS-CHAP,,TACACS+;RADIUS;CHAP;MS-CHAP,4
practice-test-1,24,Common methods for authenticating people include:,IP addresses,Usernames and passwords,MAC addresses,Biometrics,MFA,,Usernames and passwords;Biometrics;MFA,3
practice-test-1,25,Common methods of device authentication include:,Usernames and passwords,Digital certificates,IP addresses,MFA,Biometrics,MAC addresses,Digital certificates;IP addresses;MAC addresses,3
practice-test-2,1,Which term describes identifying differences between current and desired security posture?,Tabletop exercise,Gap analysis,Security awareness training,Risk assessment,,,Gap analysis,1
practice-test-2,2,Zero Trust security eliminates implicit trust and requires continuous verification,True,False,,,,,False,1
practice-test-2,3,Which refers to Zero Trust Control Plane approach using contextual info for access decisions?,Implicit trust,Monitoring and logging,Adaptive identity,Microsegmentation,,,Adaptive identity,1
practice-test-2,4,What are key components of the Policy Decision Point PDP?,Policy Engine,Monitoring and logging,Policy Enforcement Point,Microsegmentation,Policy Administrator,,Policy Engine;Policy Administrator,2
practice-test-2,5,Policy Enforcement Point enforces policies defined by PDP,True,False,,,,,True,1
practice-test-2,6,Mantrap is a physical access control system,True,False,,,,,True,1
practice-test-2,7,Which statements about honeypots are true?,Always part of honeynet,Mimic real systems,Anti-malware solution,Contain monitored vulnerabilities,Used to attack attackers,,Mimic real systems;Contain monitored vulnerabilities,2
practice-test-2,8,What is a honeynet?,Network of IDSs,Network of honeypots,Network of infected hosts,Network of IPSs,,,Network of honeypots,1
practice-test-2,9,Which refers to a honeynet example?,Fake websites,Fake servers,Fake databases,Fake file shares,All of the above,,All of the above,1
practice-test-2,10,A honeyfile contains real user data to attract attackers,True,False,,,,,False,1
practice-test-2,11,A honeyfile can be used for:,Attracting attackers,Triggering alerts,Monitoring activity,All of the above,,,All of the above,1
practice-test-2,12,What is a honeytoken?,Decoy file,Identifier for honeyfile,Decoy system,Tracking identifier,,,Tracking identifier,1
practice-test-2,13,Which should not be used as honeytokens?,Active user credentials,Database entries,Real URLs,Dummy logs,Fake identifiers,,Active user credentials;Real URLs,2
practice-test-2,14,Process to assess impact of disruptions on business functions?,BPA,BIA,SLE,BCP,,,BIA,1
practice-test-2,15,Hierarchical system for managing digital certificates?,PKI,RA,PKCS,CA,,,PKI,1
practice-test-2,16,Which describes public-private key pair?,Symmetrical keys,Identical keys,Encryption and decryption pair,Shared key,,,Encryption and decryption pair,1
practice-test-2,17,Typical use of a public key?,Data encryption,Data decryption,Authentication,All of the above,,,Data encryption,1
practice-test-2,18,Key escrow requires Recovery Agents to function,True,False,,,,,False,1
practice-test-2,19,Which device has hardware-level encryption?,HSM,TPM,EFS,SED,,,SED,1
practice-test-2,20,Which provides full disk encryption software?,TPM,FDE,EFS,HSM,,,FDE,1
practice-test-2,21,Windows tool for encrypting individual files?,SED,EFS,BitLocker,FDE,,,EFS,1
practice-test-2,22,Which tools implement encryption algorithms?,VPN,GPG,SSH,IPsec,PGP,,GPG;PGP,2
practice-test-2,23,Protocol securing web traffic via SSL/TLS?,SFTP,HTTPS,FTPS,SNMP,,,HTTPS,1
practice-test-2,24,Deprecated TLS email security method?,S/MIME,STARTTLS,DKIM,SMTPS,,,SMTPS,1
practice-test-2,25,Obsolete protocol for secure web transfer?,SMTPS,SRTP,SHTTP,S/MIME,,,SHTTP,1
practice-test-3,1,S/MIME extends MIME to provide encryption authentication and integrity,True,False,,,,,True,1
practice-test-3,2,Which protocol enables secure file transfer over SSH?,TFTP,SFTP,Telnet,FTPS,,,SFTP,1
practice-test-3,3,SFTP is an extension of FTP using SSL/TLS,True,False,,,,,False,1
practice-test-3,4,Which protocol provides secure remote login and command execution?,RDP,SSH,Telnet,SCP,,,SSH,1
practice-test-3,5,Which refers to suite providing encryption authentication and integrity for traffic?,TLS,SSH,IPsec,VPN,,,IPsec,1
practice-test-3,6,Which part of IPsec provides authentication integrity and confidentiality?,SPD,PFS,AH,ESP,,,ESP,1
practice-test-3,7,Private encrypted connections over public networks are called?,WWAN,VPN,PAN,VLAN,,,VPN,1
practice-test-3,8,Which protocol enables secure real-time audio/video delivery?,S/MIME,RTP,SIP,SRTP,,,SRTP,1
practice-test-3,9,Which protocol is used in WPA2 encryption?,TKIP,CCMP,SSL,IPsec,,,CCMP,1
practice-test-3,10,Which protocol improves WEP security?,WPA2,RC4,CCMP,TKIP,,,TKIP,1
practice-test-3,11,Which are deprecated or insecure crypto algorithms?,DES,AES-256,MD5,ECC,SHA-1,SSL,DES;MD5;SHA-1;SSL;RC4,5
practice-test-3,12,Which protocol is successor to SSL?,IPsec,TLS,AES,CCMP,,,TLS,1
practice-test-3,13,Symmetric is public key and asymmetric is secret key encryption,True,False,,,,,False,1
practice-test-3,14,Public key encrypted messages can only be decrypted with matching private key,True,False,,,,,True,1
practice-test-3,15,Which are NOT symmetric ciphers?,AES,DES,DHE,ECC,IDEA,RC4,DHE;ECC;RSA,3
practice-test-3,16,Which are NOT asymmetric encryption algorithms?,AES,DES,DHE,ECC,IDEA,RC4,AES;DES;IDEA;RC4,4
practice-test-3,17,KEK is used to encrypt other keys,True,False,,,,,True,1
practice-test-3,18,Which refers to shared secret authentication method?,PSK,802.1X,SAE,TKIP,,,PSK,1
practice-test-3,19,Which protocol exchanges keys in IPsec VPN?,SSL,IKE,ESP,DHE,,,IKE,1
practice-test-3,20,Which provides forward secrecy with temporary keys?,PFS,SHA,PGP,DHE,,,DHE,1
practice-test-3,21,Which uses ECC for key exchange?,IKE,ECDHE,DHE,ECDSA,,,ECDHE,1
practice-test-3,22,Which strengthens security of session keys?,ECB,PFS,EFS,PFX,,,PFS,1
practice-test-3,23,Which is a public-key cryptosystem?,ECC,RSA,PKI,DSA,,,RSA,1
practice-test-3,24,Best crypto for low-power devices?,ECC,DES,RSA,AES,,,ECC,1
practice-test-3,25,Which algorithm is least vulnerable?,AES,DES,RC4,3DES,,,AES,1
practice-test-4,1,Which refers to a legacy symmetric-key block cipher?,RC4,DES,RSA,DSA,,,DES,1
practice-test-4,2,Which refers to deprecated stream cipher used in WEP?,RSA,DES,SSL,RC4,,,RC4,1
practice-test-4,3,Which refers to deprecated symmetric block cipher replaced by AES?,ECDSA,RSA,IDEA,DSA,,,IDEA,1
practice-test-4,4,What is recommended replacement for DES?,DSA,RSA,RC4,AES,,,AES,1
practice-test-4,5,IV ensures same plaintext produces different ciphertext,True,False,,,,,True,1
practice-test-4,6,Which logical operation is commonly used in encryption?,AND,OR,NOT,XOR,,,XOR,1
practice-test-4,7,Which block mode chains ciphertext blocks?,CBC,GCM,ECB,CFB,,,CBC,1
practice-test-4,8,Which block mode turns block cipher into stream cipher?,CFB,CBC,GCM,ECB,,,CFB,1
practice-test-4,9,Which mode uses counter for pseudorandom encryption?,CBC,GCM,CFB,CTM,,,GCM,1
practice-test-4,10,Which block mode is weakest and not recommended?,CBC,GCM,ECB,CTM,,,ECB,1
practice-test-4,11,Which mode provides encryption + authentication?,CBC,GCM,ECB,CFB,,,GCM,1
practice-test-4,12,Longer key length generally means stronger security,True,False,,,,,True,1
practice-test-4,13,Which AES key length is strongest?,128-bit,192-bit,256-bit,320-bit,,,256-bit,1
practice-test-4,14,Which is embedded microcontroller for secure boot and encryption?,TPM,SoC,UEFI,HSM,,,TPM,1
practice-test-4,15,Which hardware provides crypto and key management?,EFS,HSM,SFC,TPM,,,HSM,1
practice-test-4,16,Which server distributes keys and authenticates users?,PKI,RAS,KDC,NAS,,,KDC,1
practice-test-4,17,Which token allows Kerberos login across services?,OTP,TGT,AS,TGS,,,TGT,1
practice-test-4,18,Secure enclave protects sensitive data environment,True,False,,,,,True,1
practice-test-4,19,Obfuscation hides meaning of data,True,False,,,,,True,1
practice-test-4,20,What is purpose of steganography?,Integrity check,Verify hash,Hiding data,Encryption,,,Hiding data,1
practice-test-4,21,Tokenization replaces sensitive data with reference value,True,False,,,,,True,1
practice-test-4,22,Replacing password chars with asterisks is:,Data masking,Tokenization,Anonymization,Pseudo-anonymization,,,Data masking,1
practice-test-4,23,Hash functions change output when input changes,True,False,,,,,True,1
practice-test-4,24,Hash functions are used for:,Cryptography,Integrity verification,Password storage,Digital signatures,Blockchain,All of the above,All of the above,1
practice-test-4,25,Which hash function is deprecated?,MD5,SHA,CRC,HMAC,,,MD5,1
practice-test-5,1,Which refers to family of cryptographic hash functions?,RSA,AES,PKCS,SHA,,,SHA,1
practice-test-5,2,Which hash function offers highest security?,MD5,SHA-3,RIPEMD-160,HMAC,,,SHA-3,1
practice-test-5,3,Which combines hash function with secret key for integrity and authenticity?,MD5,DSA,HMAC,DES,,,HMAC,1
practice-test-5,4,Which is non-cryptographic hash function used for error checking?,MD5,CRC,SHA,RIPEMD,,,CRC,1
practice-test-5,5,Which increases password complexity to prevent attacks?,Seed,IV,Salt,Shim,,,Salt,1
practice-test-5,6,Pseudo-random data added before hashing is called?,Shim,Salt,IV,Seed,,,Salt,1
practice-test-5,7,Which prevents rainbow table attacks?,Data masking,2FA,Key stretching,Salting,,,Salting,1
practice-test-5,8,Which verifies authenticity and integrity using encrypted identifier?,Digital signature,Hash function,Digital certificate,Asymmetric encryption,,,Digital signature,1
practice-test-5,9,Which are used for digital signatures?,ECDSA,RSA,ECDHE,DSA,GPG/PGP,,ECDSA;RSA;DSA,3
practice-test-5,10,Which describe DSA?,Asymmetric algorithm,Key exchange,Symmetric algorithm,Provides authentication,Designed for digital signatures,Used for encryption,Asymmetric algorithm;Provides authentication;Designed for digital signatures,3
practice-test-5,11,Which describe RSA?,Asymmetric encryption,Public/private keys,Bulk encryption,Used for communication,Symmetric algorithm,Single key,Asymmetric encryption;Public/private keys;Used for communication,3
practice-test-5,12,Which describe ECDSA?,Provides authentication,Uses ECC,Used for encryption,Digital signatures,Efficient algorithm,Key exchange,Provides authentication;Uses ECC;Digital signatures;Efficient algorithm,4
practice-test-5,13,Best signature algorithm for low-power devices?,RSA,ECDHE,DSA,ECDSA,ECC,,ECDSA,1
practice-test-5,14,Key stretching increases resistance to attacks,True,False,,,,,True,1
practice-test-5,15,Which is key stretching algorithm?,RIPEMD,SHA,HMAC,PBKDF2,,,PBKDF2,1
practice-test-5,16,Open public ledger describes distributed database,True,False,,,,,True,1
practice-test-5,17,Blockchain is example of:,Payment gateway,Centralized database,Open public ledger,Cloud storage,,,Open public ledger,1
practice-test-5,18,Which defines cryptographic standards?,ITIL,RFC,PKCS,ISO/IEC,,,PKCS,1
practice-test-5,19,Which defines file format for identity info?,P10,P11,P12,P13,,,P12,1
practice-test-5,20,Which verifies identity in communications?,Encryption key,Digital certificate,Identity token,Digital signature,,,Digital certificate,1
practice-test-5,21,Role of Registration Authority?,Accept requests,Validate certs,Authenticate entity,Backup keys,Issue certs,,Accept requests;Authenticate entity,2
practice-test-5,22,Trusted third party issuing certificates?,RA,DN,CA,CSP,,,CA,1
practice-test-5,23,Which publishes revoked certificates?,CRL,OSPF,RA,CSR,,,CRL,1
practice-test-5,24,Which allows on-demand revocation checks?,CSP,OCSP,DN,CRL,,,OCSP,1
practice-test-5,25,Fastest way to check certificate validity?,CSR,DN,CRL,OCSP,,,OCSP,1
practice-test-6,1,Which describes self-signed certificates?,Backed by trusted CA,Not trusted by default,Used in internal environments,Public-facing use,Trusted by default,Not backed by CA,Not trusted by default;Used in internal environments;Not backed by CA,3
practice-test-6,2,Self-signed certificate is also called:,Client certificate,EV certificate,Server certificate,Wildcard certificate,None of the above,,None of the above,1
practice-test-6,3,Third-party certificates are trusted while self-signed are not,True,False,,,,,True,1
practice-test-6,4,Root of trust refers to highest trust level in PKI,True,False,,,,,True,1
practice-test-6,5,Which refers to PKI trust models?,Single CA,Hierarchical,Mesh,Web of trust,Chain of trust,Bridge,All of the above,1
practice-test-6,6,Which is file generated to request certificate?,OID,CSR,DN,CRL,,,CSR,1
practice-test-6,7,Which secures multiple subdomains?,Root cert,SAN cert,EV cert,Wildcard cert,,,Wildcard cert,1
practice-test-6,8,Which secures multiple domains?,EV cert,Wildcard cert,SAN cert,Root cert,,,SAN cert,1
practice-test-6,9,Which refers to identifier used in PKI?,OID,DN,SAN,GUID,,,OID,1
practice-test-6,10,Shadow IT refers to unauthorized IT usage,True,False,,,,,True,1
practice-test-6,11,Which describes APT?,MitM,APT,XSRF,DDoS,,,APT,1
practice-test-6,12,Attack surface vs threat vector definition is correct,True,False,,,,,True,1
practice-test-6,13,Which is email-based threat vector?,Spoofing,Phishing,BEC,Malicious links,Malware attachments,All of the above,All of the above,1
practice-test-6,14,Which is SMS-based threat?,Phishing,Vishing,Smishing,Pharming,,,Smishing,1
practice-test-6,15,Which is IM-based threat vector?,Phishing,Malware,Spoofing,Eavesdropping,Account hijacking,Malicious link,All of the above,1
practice-test-6,16,Which are image-based threat vectors?,Steganography,BEC,Deepfakes,Brand impersonation,Malware images,,Steganography;Deepfakes;Malware images,3
practice-test-6,17,Which is file-based threat vector?,PDF exploit,Macros,Compressed files,Web scripts,Images,Executables,All of the above,1
practice-test-6,18,Which is voice-based threat vector?,Smishing,Pharming,Vishing,Phishing,,,Vishing,1
practice-test-6,19,Removable device threats include:,Pretexting,Malware delivery,Watering hole,Data exfiltration,Social engineering,,Malware delivery;Data exfiltration,2
practice-test-6,20,Which are client-based threats?,Drive-by download,Malicious macro,Network vulnerability,USB attack,Executable,Email attachment,Drive-by download;Malicious macro;USB attack;Executable;Email attachment,5
practice-test-6,21,Which are agentless threats?,Phishing email,USB drive,Network vulnerability,Macro,Packet sniffing,,Network vulnerability;Packet sniffing,2
practice-test-7,1,Exploiting known vulnerabilities is common for?,Legacy systems,Unsupported systems,New systems,Zero-day systems,,,Unsupported systems,1
practice-test-7,2,Which simplifies wireless setup for non-technical users?,WPA,WPS,WEP,WAP,,,WPS,1
practice-test-7,3,Which wireless technologies are insecure?,WPS,WAP,WPA,WAF,WPA2,WEP,WPS;WPA;WPA2;WEP,4
practice-test-7,4,Evil twin is rogue access point attack,True,False,,,,,True,1
practice-test-7,5,Which is wired network threat vector?,ARP spoofing,VLAN hopping,Cable tapping,Port sniffing,All of the above,,Cable tapping,1
practice-test-7,6,Bluetooth attacks include bluejacking bluesnarfing etc,True,False,,,,,True,1
practice-test-7,7,Unauthorized access via network entry point is caused by?,Outdated AV,Browser cookies,Open ports,Insufficient logging,,,Open ports,1
practice-test-7,8,Default credentials create security risk,True,False,,,,,True,1
practice-test-7,9,Company needing IT services without staff should use?,MSA,MaaS,MSP,MSSP,,,MSP,1
practice-test-7,10,Third-party vendor offering security services?,MSP,MaaS,MSA,MSSP,,,MSSP,1
practice-test-7,11,Threat vectors in supply chain include?,Compliance issues,Brand damage,Malware spread,Operational disruption,Social engineering,,Malware spread;Social engineering,2
practice-test-7,12,Social engineering using fake request is called?,Phishing,Smishing,Pharming,Spoofing,,,Phishing,1
practice-test-7,13,Which attack relies on identity theft?,Pretexting,Spear phishing,Tailgating,Impersonation,,,Impersonation,1
practice-test-7,14,BEC attack is type of?,Smishing,Phishing,Vishing,Pharming,,,Phishing,1
practice-test-7,15,False scenario to trick victim is?,Impersonation,Credential harvesting,Pretexting,Watering hole,,,Pretexting,1
practice-test-7,16,Watering hole attacks use?,Mail gateways,Websites,PBX systems,Browsers,,,Websites,1
practice-test-7,17,Typosquatting describes URL hijacking,True,False,,,,,True,1
practice-test-7,18,Which attack injects code into running program?,Buffer overflow,Memory injection,Replay attack,Pointer dereference,,,Memory injection,1
practice-test-7,19,Collection of reusable functions in Windows is?,DLL,API,EXE,INI,,,DLL,1
practice-test-7,20,Attack using library execution is?,Memory leak,DLL injection,Pointer dereference,Buffer overflow,,,DLL injection,1
practice-test-7,21,Memory overwrite vulnerability is?,DLL injection,Buffer overflow,Memory leak,Privilege escalation,,,Buffer overflow,1
practice-test-7,22,Sequential access malfunction is?,Race condition,Concurrency error,Multithreading,Synchronization error,,,Race condition,1
practice-test-7,23,Time-of-check/time-of-use vulnerability is?,TOC,TOC/TOU,TOU,TSIG,,,TOC/TOU,1
practice-test-7,24,Malicious update can be caused by?,Unsigned code,Unencrypted channel,Fake update site,Unauthorized server access,Compromised dev process,All of the above,All of the above,1
practice-test-7,25,Which is NOT OS-based vulnerability?,Access control issues,Application vulnerabilities,Memory vulnerabilities,Patch management issues,Config issues,Network vulnerabilities,All of the above,1
practice-test-8,1,Which vulnerability allows malicious code injection into input fields?,RCE,SQLi,XSS,CSRF,,,SQLi,1
practice-test-8,2,Which indicates an SQL injection attempt?,DELETE query,Login bypass query,DROP TABLE query,Normal SELECT query,,,Login bypass query,1
practice-test-8,3,Which describe XSS attacks?,Browser trusts site,Script injected into site,Browser executes script,Site trusts browser,User submits requests,Site executes requests,Script injected into site;Browser executes script;Browser trusts site,3
practice-test-8,4,Software embedded in hardware chip is?,Firmware,Middleware,Device driver,Machine code,,,Firmware,1
practice-test-8,5,Product no longer sold is?,EOS,EOF,EOL,EOA,,,EOL,1
practice-test-8,6,Main vulnerability of legacy hardware?,Compatibility issues,Lack of updates,Worn components,Lack of personnel,,,Lack of updates,1
practice-test-8,7,VM escape allows access to host system,True,False,,,,,True,1
practice-test-8,8,VM isolation failure vulnerability is?,Resource reuse,Privilege escalation,Resource exhaustion,Concurrent sessions,,,Resource reuse,1
practice-test-8,9,Cloud vulnerability example?,Insecure APIs,Poor access control,Lack of updates,Misconfigured storage,Shadow IT,All of the above,All of the above,1
practice-test-8,10,Installing apps outside official stores is?,Jailbreaking,Rooting,Sideloading,Carrier unlocking,,,Sideloading,1
practice-test-8,11,Removing iOS restrictions is?,Sideloading,Carrier unlock,Rooting,Jailbreaking,,,Jailbreaking,1
practice-test-8,12,Rooting applies to?,Android,iOS,Microsoft,All devices,,,Android,1
practice-test-8,13,Unknown vulnerability exploit is?,On-path,IV attack,Zero-day,Replay attack,,,Zero-day,1
practice-test-8,14,Malware locking system for ransom is?,Grayware,Adware,Ransomware,Spyware,,,Ransomware,1
practice-test-8,15,Trojan performs hidden malicious actions,True,False,,,,,True,1
practice-test-8,16,Trojan allowing remote access is?,APT,RAT,MaaS,PUP,,,RAT,1
practice-test-8,17,Self-propagating malware over network is?,Worm,Fileless virus,Bot,Logic bomb,,,Worm,1
practice-test-8,18,Malware collecting user data secretly is?,Cryptomalware,Adware,Ransomware,Spyware,,,Spyware,1
practice-test-8,19,Which describe bloatware?,Preinstalled,Undesirable performance,Installed without consent,Bundled software,Impacts performance privacy security,,Preinstalled;Undesirable performance;Impacts performance privacy security,3
practice-test-8,20,Which describe PUP?,Installed without consent,Bundled software,Undesirable impact,Preinstalled,Performance impact,,Installed without consent;Bundled software;Undesirable impact,3
practice-test-8,21,Which describe computer virus?,Self-replicating,Requires host,Standalone program,Runs independently,Attaches to program,Needs host,Self-replicating;Requires host;Attaches to program,3
practice-test-8,22,Example of spyware?,Keylogger,Scanner,Worm,Packet sniffer,,,Keylogger,1
practice-test-8,23,Malicious code triggered by event is?,Cryptomalware,Backdoor,Rootkit,Logic bomb,,,Logic bomb,1
practice-test-8,24,Toolset to hide intrusion and gain admin access?,Rootkit,Spyware,Backdoor,Trojan,,,Rootkit,1
practice-test-8,25,RFID cloning duplicates RFID data for reuse,True,False,,,,,True,1
practice-test-9,1,DDoS uses multiple compromised systems,True,False,,,,,True,1
practice-test-9,2,Which describes amplification DDoS?,Amplified,Volumetric,Reflected,Application,,,Amplified,1
practice-test-9,3,What defines reflected DDoS?,High traffic volume,Protocol exploitation,Reflection via third-party servers,Application attack,,,Reflection via third-party servers,1
practice-test-9,4,DNS amplification attack description is correct,True,False,,,,,True,1
practice-test-9,5,Which attack provides false DNS info?,DNS spoofing,Credential stuffing,URL hijacking,Domain hijacking,,,DNS spoofing,1
practice-test-9,6,Remapping domain to rogue IP is?,URL hijacking,DNS poisoning,Domain hijacking,ARP poisoning,,,DNS poisoning,1
practice-test-9,7,Losing control of domain is?,Sybil attack,Domain hijacking,Typosquatting,URL hijacking,,,Domain hijacking,1
practice-test-9,8,Wireless malicious indicator is?,Rogue AP,Jump server,Unmanaged switch,Network tap,,,Rogue AP,1
practice-test-9,9,Unauthorized Bluetooth access is?,Phishing,Bluejacking,Smishing,Bluesnarfing,,,Bluesnarfing,1
practice-test-9,10,Wireless disassociation attack is?,Downgrade,Deauth,Brute force,DoS,Crypto,,Deauth;DoS,2
practice-test-9,11,Wireless jamming attack is?,Crypto,DoS,Brute force,Downgrade,,,DoS,1
practice-test-9,12,RFID vulnerability is?,Spoofing,Eavesdropping,RFID cloning,Data interception,Replay,DoS,All of the above,1
practice-test-9,13,NFC vulnerability is?,Eavesdropping,Data interception,Replay,DoS,All of the above,,All of the above,1
practice-test-9,14,Attack exploiting WEP vulnerabilities?,IV attack,War driving,SSID spoofing,Bluejacking,,,IV attack,1
practice-test-9,15,Which describe on-path attack?,MITM,Position in communication path,Packet interception,No packet access,,,MITM;Position in communication path;Packet interception,3
practice-test-9,16,Replay attack definition is correct,True,False,,,,,True,1
practice-test-9,17,Session ID characteristics?,Identifies session,Unique identifier,Contains credentials,Stored in cookie,Stored client side,Server identifier,Identifies session;Unique identifier;Stored in cookie;Stored client side,4
practice-test-9,18,Session replay attack description is correct,True,False,,,,,True,1
practice-test-9,19,Authenticate without plaintext password?,Pass the hash,Replay,Brute force,Spraying,,,Pass the hash,1
practice-test-9,20,XSS enables which action?,Code injection,Privilege escalation,Session hijacking,Packet sniffing,,,Code injection,1
practice-test-9,21,Which exploits directory service protocol?,CSRF,XML injection,LDAP injection,SQL injection,,,LDAP injection,1
practice-test-9,22,Which targets structured data transport?,SQL injection,CSRF,XML injection,LDAP injection,,,XML injection,1
practice-test-9,23,Privilege escalation enabled by?,Vulnerabilities,Password hashing,Misconfigurations,Segmentation,Social engineering,,Vulnerabilities;Misconfigurations;Social engineering,3
practice-test-9,24,Which describe CSRF?,Trust in browser,User tricked,Server executes request,Trust in website,Script injection,Browser executes script,Trust in website;User tricked;Server executes request,3
practice-test-9,25,Dot-dot-slash attack is?,Disassociation,On-path,Directory traversal,Downgrade,,,Directory traversal,1
practice-test-10,1,Which URL indicates directory traversal?,../etc/passwd path,../www/../../etc/passwd,../../../etc/passwd path,../../../../etc/passwd path,Any of the above,,Any of the above,1
practice-test-10,2,Forcing protocol to weaker version is?,Downgrade,Replay,Deauth,Spraying,,,Downgrade,1
practice-test-10,3,Hash collision produces same digest for different inputs,True,False,,,,,False,1
practice-test-10,4,Which attack relies on probability theory?,Brute-force,KPA,Dictionary,Birthday,,,Birthday,1
practice-test-10,5,Trying common passwords across accounts is?,Replay,Dictionary,Spraying,Birthday,,,Spraying,1
practice-test-10,6,Which bypasses account lockout?,Birthday,Replay,Spraying,Dictionary,,,Spraying,1
practice-test-10,7,Trying all possible keys is?,Replay,Brute-force,Dictionary,Birthday,,,Brute-force,1
practice-test-10,8,Offline brute-force avoids lockout,True,False,,,,,True,1
practice-test-10,9,Indicator of compromise is?,CVE,IoC,AIS,OSINT,,,IoC,1
practice-test-10,10,Account lockout indicates?,Malicious delivery,DoS,Account compromise,Brute-force,,,Brute-force,1
practice-test-10,11,Account used from multiple locations is?,Spraying,Concurrent sessions,SSO,Impossible travel,,,Concurrent sessions,1
practice-test-10,12,Blocked malicious activity indicator?,DoS,Resource issue,Blocked content,High resource usage,,,Blocked content,1
practice-test-10,13,Account accessed from impossible location?,Login restriction,Impossible travel,Concurrent sessions,Out-of-cycle logs,,,Impossible travel,1
practice-test-10,14,Out-of-cycle logging indicates anomalies,True,False,,,,,True,1
practice-test-10,15,Which hides malicious activity evidence?,Account lockout,Resource issue,Missing logs,Concurrent sessions,,,Missing logs,1
practice-test-10,16,Logical grouping of devices is?,VLAN,DMZ,SNMP,VPN,,,VLAN,1
practice-test-10,17,Subnet size management is?,DNAT,VLSM,MPLS,VLAN,,,VLSM,1
practice-test-10,18,Granular access control by role?,EDR,IAM,AAA,IPS,,,IAM,1
practice-test-10,19,Software-based network control is?,VDI,SDN,VPC,EDR,,,SDN,1
practice-test-10,20,Rules granting access to objects?,ACL,MFA,NAC,AUP,,,ACL,1
practice-test-10,21,Router/switch/firewall rule-based control?,MAC,AUP,DAC,ACL,,,ACL,1
practice-test-10,22,File-level access control mechanism?,EFS,FACL,FIM,NTFS,,,FACL,1
